StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q32,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q37_1,Q37_2,Q37_3,Q37_4,Q37_5,Q37_6,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
2024-03-01 20:25:28,2024-03-01 20:28:01,0,99.129.202.61,100,153,1,2024-03-01 20:28:02,R_6PJEDk8ehWA8o4F,,,,,32.8595,-117.2124,anonymous,EN,1,1,1,3,2,3,4,3,1,3,3,4,4,3,2,2,2,3,3,4,4,3,3,4,4,4,3,1,2,
2024-03-01 20:52:57,2024-03-01 20:59:26,0,107.199.167.19,100,389,1,2024-03-01 20:59:26,R_7TCzj7NJYjN2pNv,,,,,32.7258,-116.9933,anonymous,EN,1,1,1,3,3,3,4,4,1,3,3,2,1,4,3,3,3,4,2,4,4,3,3,3,2,4,5,1,1,I believe I am very empathetic. I feel for others and grave with others. I enjoy giving compliments.
2024-03-01 20:55:41,2024-03-01 21:10:30,0,174.68.114.132,100,889,1,2024-03-01 21:10:31,R_58GlKx5nwKmZ5sQ,,,,,32.7596,-117.0143,anonymous,EN,1,1,1,4,5,4,4,4,5,4,5,1,1,1,2,2,5,1,1,3,2,3,4,3,2,2,4,2,1,"I am an altruistic, in the sense that I like to help people and not expect anything in return. I don't think I am empathetic. Helping others helps me feel better about myself. I am pretty much selfish. "
2024-03-01 21:16:49,2024-03-01 21:23:58,0,70.95.192.53,100,428,1,2024-03-01 21:23:59,R_1oMiOBXPGpotpex,,,,,32.9167,-117.0903,anonymous,EN,1,1,3,4,3,3,4,5,1,4,2,2,1,1,1,2,4,4,3,4,4,2,5,2,2,3,5,1,1,"Empathetic. Family, education, experience, friends, and living environment."
2024-03-01 21:35:29,2024-03-01 21:42:21,0,107.185.181.166,100,412,1,2024-03-01 21:42:22,R_5OoXV59hI8XTczl,,,,,33.7832,-117.9773,anonymous,EN,1,1,3,3,1,3,3,3,1,3,3,2,2,2,1,1,1,4,2,4,4,2,4,3,2,2,4,2,1,"I do. I believe everyone deserves a second chance and that if I was in their shoes, I would be grateful for any help, so I want to make them feel better/at ease like repaying a favor/passing things forward."
2024-03-01 21:48:13,2024-03-01 21:55:08,0,68.105.71.119,100,415,1,2024-03-01 21:55:09,R_5d0NoWB6y1n9FDl,,,,,32.6917,-117.1151,anonymous,EN,1,1,2,3,3,4,2,3,1,3,5,1,1,1,2,2,3,4,1,4,4,4,4,2,4,4,4,2,1,"Empathetic, mostly because that’s what I’ve seen growing up in my household and because of my religion."
2024-03-01 21:50:44,2024-03-01 21:58:47,0,23.120.198.85,100,482,1,2024-03-01 21:58:48,R_5wywtnK7ieqcYxj,,,,,32.7847,-117.0203,anonymous,EN,1,1,3,3,4,3,4,4,2,3,1,3,2,1,1,1,1,4,2,4,3,5,2,2,4,4,4,1,1,yes
2024-03-01 21:55:44,2024-03-01 22:02:19,0,72.192.182.105,100,395,1,2024-03-01 22:02:20,R_6qjpjbRRxVBpPnt,,,,,32.7405,-117.0935,anonymous,EN,1,1,1,4,1,4,5,2,1,3,3,1,1,1,1,3,5,5,1,3,4,4,4,3,1,4,3,2,2,
2024-03-01 22:08:22,2024-03-01 22:14:04,0,99.76.230.11,100,342,1,2024-03-01 22:14:04,R_6DPgaQpHwnqmvJA,,,,,32.8595,-117.2124,anonymous,EN,1,2,3,3,3,4,4,4,1,5,5,1,1,1,2,3,5,3,2,5,5,4,5,2,2,3,5,1,1,I have empathy but not enough to consider myself as empathetic.
2024-03-01 22:48:12,2024-03-01 22:52:07,0,76.33.214.10,100,235,1,2024-03-01 22:52:08,R_7D3G7LPedYpa6qt,,,,,32.8595,-117.2124,anonymous,EN,1,1,3,2,1,3,3,4,1,4,1,2,2,2,1,1,1,3,3,4,3,4,3,2,3,4,4,1,1,"I think I am within reason because it’s good to be kind to everyone, but if someone takes advantage of it, then revoke your kindness"
2024-03-01 23:41:21,2024-03-01 23:51:03,0,72.220.9.178,100,582,1,2024-03-01 23:51:04,R_14cjgB8mQMI9201,,,,,32.7104,-117.0528,anonymous,EN,1,1,1,4,3,3,3,1,1,3,3,3,4,4,1,1,1,5,1,5,4,3,4,2,4,4,5,2,2,
2024-03-02 00:00:50,2024-03-02 00:14:54,0,104.249.174.124,100,844,1,2024-03-02 00:14:55,R_3kdkBOOGSDuSL2v,,,,,47.6144,-122.3447,anonymous,EN,1,1,3,4,3,4,5,5,1,3,2,1,1,5,5,5,5,3,3,5,3,4,4,2,2,3,4,1,1,Empathetic. Cause I can immediately sense the mood swings of my friends around me.
2024-03-02 00:11:01,2024-03-02 00:19:42,0,223.104.145.191,100,521,1,2024-03-02 00:19:43,R_4TZx5f4mXOPF33q,,,,,31.3093,120.602,anonymous,EN,1,2,3,5,1,4,4,4,2,4,3,2,4,2,4,2,2,4,3,4,2,1,3,3,4,4,4,2,1,Traditional virtues of the Chinese nation
2024-03-02 01:01:00,2024-03-02 01:11:12,0,174.65.78.141,100,611,1,2024-03-02 01:11:12,R_6YPMEuffDcPDBNu,,,,,32.7104,-117.0528,anonymous,EN,1,2,5,4,5,4,5,5,1,4,5,2,1,1,3,3,4,3,2,5,5,4,5,3,4,4,4,1,1,"iM A cAnCeR. Kidding..sorta All jokes aside. I consider myself an empathetic person 90% of the time. I am human and I have my faults and there will be times where I view situations differently depending on my state of mind. For example, if someone cuts me off on the freeway, I’d likely get upset and call them a dummy. When in reality I should understand that maybe they’ did it intentionally or perhaps were in a rush. I try my best to be empathetic and kind to other because the world is in dire need of people with welcoming and warm souls. I love being able to make others feel a sense of happiness even if it’s brief. I also think about myself. Which sounds terrible. But if roles were reversed, how would I want to be treated in some situations? With kindness and compassion/empathy or cold and bitter. "
2024-03-02 00:31:27,2024-03-02 01:15:21,0,39.144.154.27,100,2633,1,2024-03-02 01:15:22,R_48BjyW1ppqJfHkB,,,,,31.7685,119.9527,anonymous,EN,1,1,3,5,4,3,3,5,1,4,5,3,5,3,3,2,1,5,5,5,5,4,4,5,5,5,4,2,1,是，我的良心影响了它
2024-03-02 01:02:56,2024-03-02 01:16:37,0,104.14.70.5,100,820,1,2024-03-02 01:16:38,R_7I6LAXsynn3350H,,,,,32.8595,-117.2124,anonymous,EN,1,3,3,5,3,4,5,5,1,3,4,4,3,4,2,2,3,3,2,4,2,1,4,1,4,4,4,2,1,Empathetic. Family education
2024-03-02 01:20:26,2024-03-02 01:28:51,0,128.54.187.225,100,504,1,2024-03-02 01:28:51,R_7gpFQVD4VU7wntS,,,,,32.8509,-117.2722,anonymous,EN,1,1,3,3,2,2,2,3,1,3,3,3,2,2,1,1,1,4,2,4,4,2,3,2,3,2,4,2,1,When I see people in sad states I feel bad for them and want them to feel better so I feel better too
2024-03-01 19:55:43,2024-03-02 03:31:50,0,179.111.19.87,100,27366,1,2024-03-02 03:31:50,R_1PphNH0R6gGqz1x,,,,,-23.6283,-46.6409,anonymous,EN,1,3,3,3,3,1,2,2,1,1,5,3,3,3,1,1,1,1,1,5,4,3,4,2,1,1,4,2,2,
2024-03-02 05:35:10,2024-03-02 05:54:14,0,124.64.19.162,100,1143,1,2024-03-02 05:54:14,R_4qaz6GPUvwyLMcD,,,,,39.911,116.395,anonymous,EN,1,2,3,3,3,5,4,4,1,3,4,3,3,3,3,3,3,1,2,4,4,1,3,1,1,4,2,2,2,
2024-03-02 06:55:44,2024-03-02 06:58:46,0,180.113.89.169,100,181,1,2024-03-02 06:58:46,R_1rPljMmhUTnKuRV,,,,,31.5618,120.2864,anonymous,EN,1,1,3,4,3,3,2,3,1,4,3,3,1,1,3,2,1,3,2,4,2,2,3,2,4,3,2,1,2,
2024-03-02 08:41:19,2024-03-02 08:48:43,0,172.56.240.219,100,443,1,2024-03-02 08:48:43,R_3E0q1OHrNKYfjgd,,,,,32.7638,-117.07,anonymous,EN,1,2,3,3,3,3,3,3,1,3,5,3,2,1,1,1,1,4,3,4,5,5,4,3,4,3,5,1,1,"empathetic. I believe that as I grew up, I never received empathy frrom family members who were close to me, as I got older I realized that I didnt want to be selfish like that them and I wanted to become a person who does good for the world "
2024-03-02 10:35:28,2024-03-02 10:38:10,0,72.199.116.188,100,161,1,2024-03-02 10:38:11,R_1q9kjT0k1J79v0N,,,,,32.6387,-117.0801,anonymous,EN,1,1,2,4,4,4,4,4,3,3,4,4,3,4,1,1,1,5,3,4,5,4,4,3,4,3,5,2,2,
2024-03-02 10:34:04,2024-03-02 10:39:16,0,108.147.175.129,100,311,1,2024-03-02 10:39:16,R_1dDOeuL7ikeSnWQ,,,,,34.281,-119.1702,anonymous,EN,1,1,1,2,3,2,3,3,1,2,4,2,2,2,3,2,2,4,2,4,4,3,4,3,4,3,4,2,1,"Active listener "
2024-03-02 10:35:02,2024-03-02 10:50:23,0,174.68.71.51,100,920,1,2024-03-02 10:50:23,R_6VyV2k5CwNQv7hY,,,,,32.7404,-117.1355,anonymous,EN,1,1,5,3,1,1,3,1,1,2,2,4,1,3,1,2,1,5,2,5,3,3,3,5,3,3,4,2,1,"Yes, but not extremely. I grew up in church, which is where I got my sense of altruism and empathy. I think there are different variations of empathy which is why I say “my sense.” I also highly value individual responsibility, so I’m not the most empathetic/altruistic person. It might be important to note that I don’t seek this often either."
2024-03-02 11:03:38,2024-03-02 11:14:17,0,76.86.243.52,100,639,1,2024-03-02 11:14:18,R_72tyaLPRgzsWJas,,,,,34.1554,-118.5957,anonymous,EN,1,2,3,4,4,4,4,4,2,4,3,2,1,1,5,3,5,4,2,5,4,4,2,3,4,4,4,2,1,"Understanding that everyone is not the same and we aren’t given the equal opportunities in life "
2024-03-02 11:50:15,2024-03-02 11:56:03,0,207.151.53.34,100,348,1,2024-03-02 11:56:03,R_3RJXpmL22S4WigF,,,,,34.0322,-118.2836,anonymous,EN,1,1,3,3,3,2,4,4,1,3,3,3,2,3,1,2,2,3,2,4,4,2,3,2,3,4,4,1,2,
2024-03-02 14:18:45,2024-03-02 14:22:06,0,23.127.81.116,100,200,1,2024-03-02 14:22:06,R_1kjtBXVdip7d4Ao,,,,,33.1955,-117.2862,anonymous,EN,1,3,5,5,5,5,5,5,3,5,5,5,1,3,1,1,1,3,4,5,5,5,5,4,5,3,5,1,1,"Compassion for the fact we’re all trying "
2024-03-02 14:55:35,2024-03-02 15:01:09,0,125.238.248.229,100,333,1,2024-03-02 15:01:10,R_4YhpP2FdWrMGH31,,,,,-36.8017,174.7533,anonymous,EN,1,1,2,2,3,2,4,4,1,3,2,1,1,1,3,3,5,4,3,4,5,3,4,2,3,5,3,1,1,"yes, I think the kindness others shown for me has allowed me to show it to others"
2024-03-02 15:39:33,2024-03-02 15:48:04,0,205.175.106.196,100,511,1,2024-03-02 15:48:05,R_3UjSw9vy1DkGgRr,,,,,47.6631,-122.3029,anonymous,EN,1,1,1,2,3,1,3,5,1,3,4,4,2,2,1,1,1,4,2,3,4,1,5,2,1,3,3,2,1,"Yes, but not usually to strangers"
2024-03-02 16:44:11,2024-03-02 16:46:08,0,68.7.171.107,100,116,1,2024-03-02 16:46:09,R_1ecfPLSxk9gT4Ix,,,,,32.6755,-117.0921,anonymous,EN,1,1,1,3,3,3,3,3,1,3,3,3,3,3,2,2,3,4,3,4,3,3,3,4,4,4,4,1,2,
2024-03-02 18:47:15,2024-03-02 18:53:41,0,75.82.65.158,100,386,1,2024-03-02 18:53:41,R_7DRKHU5S7Idr6BX,,,,,32.8425,-117.2484,anonymous,EN,1,1,3,4,3,3,4,5,1,4,1,2,4,4,3,5,3,3,2,4,2,2,4,1,3,5,4,1,2,
2024-03-02 18:54:28,2024-03-02 19:23:44,0,107.115.252.40,100,1756,1,2024-03-02 19:23:45,R_5LgMHsUQDsSPnFr,,,,,34.195,-118.445,anonymous,EN,1,3,1,3,4,4,5,3,3,5,5,2,1,1,1,2,2,4,4,5,5,5,5,4,4,4,5,2,1,"Yes, for many reasons and factors but ultimately I like helping people and making sure they’re okay and they know they’re not alone. I never had that and it’s hard. Nobody should feel alone in anything like I did for a very long time "
2024-03-03 20:37:58,2024-03-03 20:46:12,0,174.68.114.132,100,494,1,2024-03-03 20:46:13,R_1yGjWP5cmzZMCel,,,,,32.7596,-117.0143,anonymous,EN,1,3,5,3,5,4,5,2,3,4,3,1,2,2,2,3,5,5,2,4,5,3,3,1,1,3,4,2,2,
2024-03-03 20:37:09,2024-03-03 20:46:22,0,174.68.114.132,100,553,1,2024-03-03 20:46:23,R_7r1aeRkSX5MxbNh,,,,,32.7596,-117.0143,anonymous,EN,1,1,1,5,4,4,1,1,3,3,4,5,1,2,1,1,1,2,1,5,2,2,1,1,1,3,1,1,2,
2024-03-03 22:11:46,2024-03-03 22:20:20,0,76.176.145.41,100,514,1,2024-03-03 22:20:21,R_1oEEyeIYNcI4WsQ,,,,,32.8595,-117.2124,anonymous,EN,1,1,4,4,3,4,5,4,3,4,3,1,1,2,3,3,2,3,2,4,5,5,5,2,2,4,5,2,1,"In some ways, I do. I have a mix of introverted and extroverted qualities, and sometimes, the introvert in you doesn't want to intervene in such situations. However, there is always a fulfillment by helping those around you, especially when you have been that individual in need. I think of moments such as a stranger that immediately pulled over to assist me with my flat when making such judgments. I suppose I would chalk it up to experience and some personal values."
2024-03-05 19:28:36,2024-03-05 19:33:46,0,128.54.196.96,100,309,1,2024-03-05 19:33:47,R_6iI4I2XP8wdXwbd,,,,,33.9075,-117.7866,anonymous,EN,1,1,3,2,1,3,4,3,1,2,5,2,2,3,1,1,1,5,1,3,3,4,4,1,1,3,3,2,1,I don't think I'm very empathetic. I have to make an effort to not be self-centered
2024-03-05 19:30:36,2024-03-05 19:34:38,0,128.54.191.141,100,241,1,2024-03-05 19:34:38,R_72R7f0Lf56mi1Gq,,,,,32.8509,-117.2722,anonymous,EN,1,1,2,3,3,4,3,4,1,3,5,2,2,3,2,2,3,4,1,4,4,3,4,2,3,4,4,2,2,
2024-03-05 19:39:33,2024-03-05 19:46:10,0,108.147.175.45,100,396,1,2024-03-05 19:46:10,R_3oGqowPZbz659zP,,,,,34.281,-119.1702,anonymous,EN,1,1,4,3,1,2,3,4,1,3,4,1,1,1,4,4,5,4,4,4,4,3,4,3,4,4,5,2,1,Yes. It feels natural to feel this way and I’m happy when others are happy
2024-03-05 19:44:51,2024-03-05 19:50:02,0,75.80.52.47,100,311,1,2024-03-05 19:50:03,R_7uI1XXN9qWpnG1N,,,,,32.8595,-117.2124,anonymous,EN,1,3,4,3,3,3,4,3,2,4,4,2,2,2,3,3,3,4,4,4,4,4,3,3,3,4,4,2,1,I have been in similar situations.
2024-03-05 19:40:17,2024-03-05 19:52:39,0,198.202.68.238,100,741,1,2024-03-05 19:52:39,R_6fR999a3IY62Typ,,,,,32.8595,-117.2124,anonymous,EN,1,1,3,3,2,2,4,5,1,3,5,2,1,1,1,1,1,3,3,4,5,3,4,2,4,3,5,2,1,"Feeling others’ suffering "
2024-03-05 19:49:03,2024-03-05 19:56:08,0,24.165.80.165,100,425,1,2024-03-05 19:56:09,R_62xngukMaY4MAwr,,,,,33.0035,-117.0696,anonymous,EN,1,2,3,4,1,3,5,5,3,3,5,5,2,1,1,1,1,4,2,5,4,5,4,2,1,5,4,2,1,"I generally consider myself neutral. I feel that being disconnected from the circumstances drives my sense of empathy. For example, in the case of the manager situation, I put extremely unlikely because I personally would know the manager and would not be willing to help because they fired me."
2024-03-05 19:31:18,2024-03-05 20:00:19,0,76.33.214.30,100,1740,1,2024-03-05 20:00:19,R_5S8bRWzoigZGXYd,,,,,32.8595,-117.2124,anonymous,EN,1,1,3,3,1,3,3,5,1,3,3,4,1,2,1,1,1,1,2,1,4,1,4,4,4,2,4,1,2,
2024-03-05 19:56:42,2024-03-05 20:12:49,0,76.53.212.29,100,967,1,2024-03-05 20:12:49,R_7SegvijcnwNv7vb,,,,,32.8425,-117.2484,anonymous,EN,1,1,2,3,1,1,3,4,2,4,3,2,3,2,1,1,2,4,2,4,4,3,4,4,3,3,3,2,1,"I am empathetic and altruistic as long as I don't dislike the person who needs the help. But if their problem is severe and I know that I can help their situation, I will help."
2024-03-05 20:30:09,2024-03-05 20:42:54,0,76.33.214.167,100,764,1,2024-03-05 20:42:54,R_6cknrYCM3ThneIQ,,,,,32.8595,-117.2124,anonymous,EN,1,1,3,3,2,1,2,5,1,4,5,2,3,1,3,4,3,5,3,4,4,2,2,3,4,5,5,2,1,"I feel like anyone would like to consider themselves an empathetic person, and I want to be one, but I also am realistic about the fact that I am often selfish or self-centered. Empathy is an important quality to me, however. People are often kind to me when I have done nothing to deserve it, and I want to be that for other people."
2024-03-05 20:44:13,2024-03-05 20:51:57,0,70.95.179.223,100,464,1,2024-03-05 20:51:58,R_5fbBLhH4ebDUPst,,,,,32.9661,-117.1202,anonymous,EN,1,1,3,3,3,2,3,4,1,4,2,3,2,1,1,1,1,4,5,4,4,3,5,4,4,5,5,2,1,"Yes. Overcoming past traumas has helped me empathize with people in those situations, and religion motivates me to do the right thing."
2024-03-05 20:44:59,2024-03-05 20:52:06,0,128.54.33.29,100,427,1,2024-03-05 20:52:06,R_3YIDJs3ePzSLqjT,,,,,32.8595,-117.2124,anonymous,EN,1,1,3,3,3,2,4,5,1,3,4,1,1,1,1,2,3,5,2,5,4,3,4,4,4,4,4,2,1,"yes, I tend to feel strongly and am sympathetic towards others"
2024-03-05 22:18:50,2024-03-05 22:27:00,0,75.80.50.244,100,490,1,2024-03-05 22:27:01,R_1mgfRc8KcJOI1Ys,,,,,32.8595,-117.2124,anonymous,EN,1,1,1,1,1,3,3,4,1,3,3,1,1,1,2,3,4,2,2,4,4,3,4,4,3,4,3,2,1,"I think of myself as an empathetic person, because I'm easily affected by the mood of another. But it doesn’t necessarily translate into altruism, because I personally don't have much to offer."
2024-03-07 19:07:51,2024-03-07 19:11:45,0,75.102.135.243,100,233,1,2024-03-07 19:11:45,R_33klSoo76oUvkdc,,,,,39.3248,-76.6062,anonymous,EN,1,1,1,3,3,3,4,5,1,3,4,2,2,2,2,1,1,4,5,5,4,4,2,1,3,4,5,2,1,"I like to think that I am. I feel like most emotions, even if they are derived from different experiences, can be understood to an extent. "
2024-03-01 15:55:15,2024-03-01 15:57:52,0,138.229.251.65,48,157,0,2024-03-08 15:57:55,R_5EQBIy7QknbdBJY,,,,,,,anonymous,EN,1,1,3,4,2,2,3,3,1,3,1,,,,,,,,,,,,,,,,,,,
